0,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Community Areas,00000000000000000000000000000000000000000
1,435f19825bb6682e6f4fb0c8d6b94e5115f812af,4ab7a7510c1ebcc9b2e3eaa7bdd6508dbea34da7986aca2d8478bb55d1eabf707cda06384ba05783521e50bd5c027c95e6feda8af5eb623f31aceb1c9cf7c6cf,3/28/16 17:30,3/28/16 17:30,300,0.5,17031839100,17031839100,32,32,$5.00 ,$1.00 ,$0.00 ,$0.00 ,$6.00 ,Credit Card,,41.88099447,-87.63274649,POINT (-87.632746 41.880994),41.88099447,-87.63274649,POINT (-87.632746 41.880994),38,000000000000000000000000000000000000000
2,2bcd2759aa7fd5372401fa984d1abfd5f06915a9,c6d02a3e8a37d84492f2f26f6f473673c7990942309039289f97318686215cb9f54f9a1d0713c2b0315bb77a0befa52cb8023cc19688b9f1c4c00bc8bfeca444,10/9/14 15:15,10/9/14 15:15,0,0,,,,,$31.45 ,$6.29 ,$0.00 ,$0.00 ,$37.74 ,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,,,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,f4d30d046ce8ddb1b6bea3c80e201fd675154771,a43d80513b519b01df933c10ec09d170add6868927049271ede3901739783685886f72063188ffb0614533e067fff866dc025119e3128dfd7fe5889f436ef3b8,9/17/13 20:45,9/17/13 21:15,1980,1,17031980000,17031081500,76,8,$34.85 ,$0.00 ,$0.00 ,$2.00 ,$36.85 ,Cash,Taxi Affiliation Services,41.97907082,-87.90303966,POINT (-87.90304 41.979071),41.89250778,-87.62621491,POINT (-87.626215 41.892508),75,0000000000000000000000
4,cf353128e64c08bbe0906237d337c7fb9c72b846,c296acfd2dae24a13a2f75387b647f2b3047b09ecb9cda02018eb160e778977046f3367d90ab483067ef00caf4831b74a22fe0ddda515a2e82dae18170bb902b,2/3/15 10:45,2/3/15 11:00,840,2.2,17031080201,17031839100,8,32,$9.25 ,$0.00 ,$0.00 ,$0.00 ,$9.25 ,Cash,Dispatch Taxi Affiliation,41.90949567,-87.6309636,POINT (-87.630964 41.909496),41.88099447,-87.63274649,POINT (-87.632746 41.880994),37,0000000000000000000000000
5,1223ca8f3341fdc19591f5371beb5f45a2888da9,fbdfc1bdf8477e6043d2012f98283fdbc6212192a065ab74139d395474c9b457a155bb187a5d8887a68a7f1aaedd46a0e845314554f731c473c3f1a183c09b47,10/3/13 19:45,10/3/13 19:45,180,0,,,6,6,$4.45 ,$0.00 ,$0.00 ,$0.00 ,$4.45 ,Cash,Taxi Affiliation Services,41.9442266,-87.65599818,POINT (-87.655998 41.944227),41.9442266,-87.65599818,POINT (-87.655998 41.944227),57,0000000000000000000000000000000000000000000000000
6,dcdc365617be740deffc637f5e87df323f7de647,8ca267f2246008a052c14ce8c81001149d86916ab274d33787e4c9f9022fb92854fc528cbc327165dc18328b4159164c7465a5fc315b2d04266018fe4619bc7a,9/23/13 16:00,9/23/13 16:30,1500,4.3,17031330100,17031330100,33,33,$15.45 ,$0.00 ,$0.00 ,$1.00 ,$16.45 ,Cash,,41.85934972,-87.61735801,POINT (-87.617358 41.85935),41.85934972,-87.61735801,POINT (-87.617358 41.85935),34,000000000000000000000000000000000000000000000
7,e11b323d11ec29bad8e446b51631568b21d39a99,884655d853cbe41e1cdf747969f0dc5b55ed2d5f76c09ae207083297c948a813b2dd57912bfb4a6f4230556ab61363257e586827846cf2a89ff35c7c3b1c08e5,9/5/15 17:45,9/5/15 18:00,720,4.3,,,32,22,$12.25 ,$0.01 ,$0.00 ,$1.00 ,$13.26 ,Credit Card,Taxi Affiliation Services,41.87886558,-87.62519214,POINT (-87.625192 41.878866),41.92276062,-87.69915534,POINT (-87.699155 41.922761),38,000000000000000000000000000000000000
8,7673ea187531850564a8ae754044f8b4e25e18b1,b70f4b9ecf75a6f458b2e32e5cc3de7f327c7928dd9e62cf55918b4a972e42a9d45f93901dd08b53fd8fffedabd593ed51c15697549791dcfa557d06683593b5,9/6/16 15:15,9/6/16 15:30,420,0.4,,,,,$5.75 ,$0.00 ,$0.00 ,$0.00 ,$5.75 ,Cash,0118 - 42111 Godfrey S.Awir,,,,,,,,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,3e90097352b5d1aa8695eb3c50b065b173380e48,9b48ad5744e86450fb4db78e7095a6827bafc43a6a9d9a8f656aac46cc0e429d129471cdad31f8a5a97b3a45c8af5fcbc80d003c1c4839075733900786e1a5a9,9/8/13 2:00,9/8/13 2:00,360,1.6,17031080202,17031071100,8,7,$6.85 ,$0.00 ,$0.00 ,$1.00 ,$7.85 ,Cash,,41.90585777,-87.63086503,POINT (-87.630865 41.905858),41.92177819,-87.65106188,POINT (-87.651062 41.921778),37,0000000000000000000000000000000000000000000000000000
10,9cc0296cea4a294d2f30382ccab9578b5035b416,2f1df8a630d47fa448585b72a26287f920aa3349fb90e6714e5aa794fa0c3888b70cfe80c25cfd0248ce0b4d3fad9867be4e2634e34c1d36bd4fd4266b87cfd6,7/12/14 19:15,7/12/14 19:30,540,0,17031081600,17031081800,8,8,$6.25 ,$0.00 ,$0.00 ,$1.50 ,$7.75 ,Cash,Taxi Affiliation Services,41.89207264,-87.62887416,POINT (-87.628874 41.892073),41.89321636,-87.63784421,POINT (-87.637844 41.893216),37,000000000000000000000000
