[41.73, -87.62]	3
[41.79, -87.64]	753
[41.83, -87.63]	4539
[41.85, -87.72]	2556
[41.89, -87.65]	1148051
[41.9, -87.74]	691
[41.93, -87.64]	732994
[41.95, -87.73]	16148
[41.96, -87.69]	16861
[41.97, -87.82]	516
[41.98, -87.89]	2821
[41.99, -87.66]	18367
[42.03, -87.75]	497
[42.08, -87.9]	1
[41.71, -87.63]	18
[41.74, -87.6]	1
[41.77, -87.65]	103
[41.79, -87.74]	5
[41.81, -87.64]	6695
[41.83, -87.73]	165
[41.84, -87.69]	8846
[41.87, -87.66]	140887
[41.89, -87.75]	347
[41.9, -87.84]	171
[41.91, -87.65]	912761
[41.93, -87.74]	21184
[41.95, -87.83]	2080
[41.96, -87.79]	1648
[41.99, -87.76]	23689
[42.01, -87.76]	2077
[41.76, -87.7]	1
[41.8, -87.62]	475
[41.81, -87.74]	378
[41.84, -87.79]	33
[41.87, -87.76]	23
[41.87, -87.7]	6291
[41.91, -87.75]	2331
[41.93, -87.84]	1
[41.97, -87.66]	1107615
[41.98, -87.7]	736
[42.07, -87.77]	1
[41.78, -87.62]	28
[41.79, -87.58]	2
[41.8, -87.72]	68
[41.82, -87.61]	1390
[41.85, -87.66]	29101
[41.88, -87.63]	6664217
[41.9, -87.68]	67265
[41.94, -87.71]	26415
[41.95, -87.67]	252985
[41.97, -87.76]	2141
[42.0, -87.71]	52
[42.02, -87.73]	7
[42.04, -87.82]	4
[42.05, -87.78]	1674
[42.07, -87.87]	3
[41.76, -87.63]	752
[41.77, -87.59]	38
[41.78, -87.72]	11
[41.78, -87.7]	8
[41.79, -87.68]	63
[41.82, -87.71]	86818
[41.83, -87.67]	2008
[41.85, -87.76]	32
[41.86, -87.64]	33283
[41.88, -87.73]	13919
[41.89, -87.69]	16588
[41.89, -87.7]	7219
[41.9, -87.78]	6
[41.92, -87.72]	178517
[41.93, -87.68]	278090
[41.94, -87.81]	286
[41.95, -87.77]	3908
[41.97, -87.86]	772
[41.98, -87.74]	240335
[42.02, -87.83]	66
[41.77, -87.69]	3
[41.81, -87.68]	114
[41.82, -87.7]	2419
[41.86, -87.74]	309
[41.89, -87.79]	10
[41.91, -87.69]	76161
[41.92, -87.82]	16
[41.93, -87.78]	22
[42.06, -87.75]	8
[41.8, -87.66]	671
[41.84, -87.64]	15387
[41.87, -87.61]	40
[41.91, -87.79]	314
[41.94, -87.65]	1810618
[41.96, -87.74]	1801
[41.99, -87.71]	264
[42.04, -87.76]	1009
[41.73, -87.7]	20
[41.75, -87.61]	23
[41.76, -87.57]	2
[41.78, -87.66]	2990
[41.8, -87.76]	7306
[41.82, -87.65]	913
[41.84, -87.74]	445
[41.84, -87.7]	5200
[41.87, -87.71]	3990
[41.88, -87.67]	40565
[41.92, -87.66]	831789
[41.94, -87.75]	5450
[41.95, -87.7]	62546
[41.96, -87.84]	3775
[41.98, -87.68]	23259
[41.99, -87.81]	92
[42.0, -87.75]	397
[42.02, -87.77]	20
[42.04, -87.86]	1
[41.74, -87.58]	1
[41.75, -87.71]	1
[41.76, -87.67]	277
[41.78, -87.76]	2
[41.82, -87.75]	137
[41.85, -87.61]	82
[41.86, -87.68]	9944
[41.88, -87.77]	328
[41.9, -87.63]	4087368
[41.92, -87.76]	2143
[41.94, -87.85]	39
[41.97, -87.71]	4592
[41.97, -87.8]	383
[41.98, -87.78]	285
[42.07, -87.82]	102
[41.74, -87.68]	2
[41.79, -87.63]	2068
[41.83, -87.62]	9384
[41.85, -87.71]	2760
[41.86, -87.78]	220
[41.89, -87.64]	2586650
[41.9, -87.73]	4239
[41.92, -87.86]	4
[41.95, -87.72]	56020
[41.96, -87.68]	59820
[41.97, -87.81]	90
[41.98, -87.88]	1479
[42.03, -87.74]	1073
[41.71, -87.62]	1
[41.77, -87.64]	23
[41.79, -87.73]	13
[41.81, -87.63]	2276
[41.83, -87.72]	6803
[41.84, -87.68]	80137
[41.85, -87.81]	69
[41.87, -87.65]	152440
[41.89, -87.74]	367
[41.91, -87.64]	4670236
[41.93, -87.73]	31324
[41.94, -87.69]	65841
[41.95, -87.82]	606
[41.96, -87.78]	3131
[41.99, -87.75]	189
[42.0, -87.69]	13
[42.01, -87.75]	696
[41.75, -87.65]	21
[41.8, -87.61]	470
[41.81, -87.73]	1141
[41.82, -87.69]	911
[41.87, -87.75]	103
[41.91, -87.74]	1797
