Degrees Latitude,Degrees Longitude,Density
41.73,-87.62,0.84509804
41.79,-87.64,2.705863712
41.83,-87.63,2.963787827
41.85,-87.72,2.681241237
41.89,-87.65,5.484120389
41.9,-87.74,2.025305865
41.93,-87.64,5.251752557
41.95,-87.73,3.469822016
41.96,-87.69,3.789157492
41.97,-87.82,2.136720567
41.98,-87.89,2.888740961
41.99,-87.66,3.005609445
42.03,-87.75,2.008600172
41.71,-87.63,1.380211242
41.75,-87.56,0
41.77,-87.65,0.602059991
41.79,-87.74,1.591064607
41.81,-87.64,2.984077034
41.84,-87.69,3.53529412
41.87,-87.66,4.559236122
41.89,-87.75,1.812913357
41.9,-87.84,1.041392685
41.91,-87.65,5.40194307
41.93,-87.74,3.734719842
41.95,-87.83,2.334453751
41.96,-87.79,2.187520721
41.99,-87.76,3.739967697
42.01,-87.76,2.631443769
42.09,-87.76,0
41.75,-87.66,0.84509804
41.8,-87.62,2.621176282
41.81,-87.74,1.880813592
41.84,-87.79,1.146128036
41.87,-87.7,2.992111488
41.91,-87.75,2.539076099
41.97,-87.66,5.41073844
41.98,-87.7,2.238046103
41.78,-87.62,1.748188027
41.8,-87.72,0.77815125
41.82,-87.61,2.881384657
41.85,-87.66,3.94319763
41.88,-87.63,6.219719404
41.9,-87.68,4.204743833
41.91,-87.85,0.301029996
41.94,-87.71,3.733678656
41.95,-87.67,4.855034317
41.97,-87.76,2.389166084
42.04,-87.82,0
42.05,-87.78,2.69019608
41.73,-87.66,0.698970004
41.76,-87.63,1.477121255
41.78,-87.7,2.269512944
41.79,-87.68,1
41.82,-87.71,4.266255222
41.83,-87.67,2.33243846
41.86,-87.64,3.860397905
41.88,-87.73,3.360404055
41.89,-87.69,3.57921178
41.89,-87.7,3.235023159
41.9,-87.78,0.301029996
41.92,-87.72,4.808622783
41.93,-87.68,4.804977214
41.94,-87.81,1.892094603
41.95,-87.77,3.028571253
41.97,-87.86,2.534026106
41.98,-87.74,4.773354861
42.02,-87.83,1.041392685
41.71,-87.67,0.301029996
41.74,-87.64,1.342422681
41.81,-87.68,1.633468456
41.82,-87.7,2.290034611
41.86,-87.74,1.73239376
41.91,-87.69,4.226290505
41.92,-87.82,0
41.93,-87.78,1.380211242
41.98,-87.84,0.301029996
42.06,-87.75,0
41.8,-87.66,3.003460532
41.84,-87.64,3.451939869
41.87,-87.61,0.84509804
41.91,-87.79,1.342422681
41.94,-87.65,5.642374486
41.96,-87.74,2.710963119
41.99,-87.71,1.84509804
42.04,-87.76,2.371067862
41.72,-87.64,0
41.76,-87.57,0.301029996
41.78,-87.66,2.206825876
41.8,-87.76,3.148294097
41.82,-87.65,2.557507202
41.84,-87.74,0.698970004
41.84,-87.7,3.04060234
41.87,-87.71,2.970811611
41.88,-87.67,3.930184652
41.92,-87.66,5.341444417
41.94,-87.75,3.049992857
41.95,-87.7,4.17525081
41.96,-87.84,3.131939295
41.98,-87.68,3.750816843
41.99,-87.81,1.414973348
42,-87.75,1.977723605
42.02,-87.77,1
42.04,-87.86,0
41.78,-87.76,0.954242509
41.82,-87.75,1.892094603
41.85,-87.61,1.146128036
41.86,-87.68,3.521661015
41.88,-87.77,0
41.9,-87.63,6.01040046
41.92,-87.76,2.64738297
41.94,-87.85,0.602059991
41.97,-87.71,3.180125875
41.97,-87.8,1.653212514
41.98,-87.78,1.954242509
42.07,-87.82,1.230448921
41.79,-87.63,1.763427994
41.83,-87.62,3.519040039
41.85,-87.71,2.632457292
41.89,-87.64,5.785348346
41.9,-87.73,3.010723865
41.92,-87.86,0.301029996
41.93,-87.63,1.973127854
41.95,-87.72,4.154606539
41.96,-87.68,4.220892249
41.97,-87.81,1.414973348
41.98,-87.88,2.164352856
42.03,-87.74,2.305351369
41.77,-87.64,2.037426498
41.79,-87.73,0.602059991
41.81,-87.63,2.460897843
41.83,-87.72,2.745855195
41.84,-87.68,4.350887356
41.85,-87.81,1.204119983
41.87,-87.65,4.5594278
