Degrees Latitude,Degrees Longitude,Density
41.92,-87.67,155
41.92,-87.68,64
41.92,-87.69,15
41.92,-87.71,6
41.92,-87.72,94
41.92,-87.73,18
41.92,-87.74,61
41.92,-87.75,4
41.92,-87.7,26
41.92,-87.81,1
41.93,-87.64,303
41.93,-87.65,1486
41.93,-87.66,352
41.93,-87.67,147
41.93,-87.68,138
41.93,-87.69,12
41.93,-87.72,16
41.93,-87.73,18
41.93,-87.74,10
41.93,-87.75,4
41.93,-87.7,19
41.93,-87.8,1
41.94,-87.64,77
41.94,-87.65,675
41.94,-87.66,211
41.94,-87.67,128
41.94,-87.68,90
41.94,-87.69,44
41.94,-87.71,27
41.94,-87.73,35
41.94,-87.74,4
41.94,-87.76,10
41.94,-87.77,4
41.94,-87.7,38
41.94,-87.8,1
41.95,-87.65,400
41.95,-87.66,162
41.95,-87.67,144
41.95,-87.68,40
41.95,-87.69,23
41.95,-87.71,7
41.95,-87.72,36
41.95,-87.73,10
41.95,-87.74,1
41.95,-87.76,9
41.95,-87.78,8
41.95,-87.7,27
41.95,-87.81,20
41.95,-87.82,22
41.95,-87.83,2
41.96,-87.65,5
41.96,-87.66,117
41.96,-87.67,12
41.96,-87.68,89
41.96,-87.69,27
41.96,-87.71,3
41.96,-87.72,4
41.96,-87.74,1
41.96,-87.77,1
41.96,-87.78,2
41.96,-87.82,3
41.96,-87.85,3
41.97,-87.65,2
41.97,-87.66,307
41.97,-87.67,15
41.97,-87.68,9
41.97,-87.69,5
41.97,-87.71,6
41.97,-87.72,8
41.97,-87.73,3
41.97,-87.74,1
41.97,-87.75,1
41.97,-87.7,3
41.97,-87.83,2
41.97,-87.84,7
41.97,-87.87,13
41.98,-87.66,105
41.98,-87.67,4
41.98,-87.68,1
41.98,-87.69,3
41.98,-87.72,33
41.98,-87.73,1433
41.98,-87.74,56
41.98,-87.76,18
41.98,-87.86,1
41.98,-87.89,3
41.98,-87.91,108
41.98,-87.9,8
41.99,-87.66,17
41.99,-87.72,24
41.99,-87.73,166
41.99,-87.75,1
41.99,-87.76,3
42.0,-87.73,10
42.0,-87.76,3
42.0,-87.82,1
42.01,-87.73,11
42.03,-87.74,1
42.04,-87.74,2
42.04,-87.75,1
42.04,-87.78,1
42.07,-87.76,1
42.08,-87.76,18
42.08,-88.01,1
